,edit_history_tweet_ids,id,text,withheld
11,['1597619584273711105'],1597619584273711105,"L'arroseur arrosé? Ou, au contraire, un signal qui va à l'encontre de la restauration de #tauxdintérêtsréels positifs par les #banquescentrales, nécessaires pour casser l'#inflation? #politiquemonétaire #bce #stagflation #récession #winteriscoming https://t.co/21Bu3kjO40",
12,['1597619394867175425'],1597619394867175425,"#BusinessNews: Amazon को सता रहा है मंदी का डर! फूड डिलीवरी के बाद अब इस सर्विस को भी भारत में करेगा बंद
@amazon @amazonIN @JeffBezos 

#amazon #amazonlayoffs #recession #foodservice #businessupdates #jeffbezos #latestnews #moneycontrol

https://t.co/q1xWYBfuNp",
13,['1597619384943403008'],1597619384943403008,"Are we going to go into a recession next year? 
🗣 @Mikey_Tay1or 
.
.
#inflation #recession #recession2023 #howto #millionaire #investing #stocks #inflation #economy #howtoinvest #robinhood #realestate #personalfinance #financialliteracy https://t.co/gmhiLQrRKl",
14,['1597618497265496065'],1597618497265496065,"Great tips for #amazonsellers heading into possible recession. Keep the cash flowing.

#recession #finance #ecommercebusiness #amazonseller #smallbusiness https://t.co/tcspZG6UrO",
15,['1597618306118287361'],1597618306118287361,"Conference Board November #US #consumer #confidence index 100.2 (vs. 100.0 expected), down from 102.2 (revised from 102.5) in October.
Not as dire as Uni Michigan index, but still indicating 50% change of #recession. https://t.co/tBsqGCKMln",
16,['1597618035850104832'],1597618035850104832,"You can’t hide from it so maybe we should all prep for it?!

#Finance #recession #amazonseller #ecommercebusiness #smallbusiness https://t.co/qQ9t4zbgW9",
17,['1597617660635881475'],1597617660635881475,"Ravikanth Rai, Vice President, Natural Resources and Pipelines at DBRS Morningstar, shares his thoughts on the potential effect of a recession on the prices of oil and gas.

Watch here: https://t.co/K5Ne6mWC5Z

#CreditRatings #Recession #Oil #Gas",
18,['1597617642575171591'],1597617642575171591,"Collaboration, ensuring staff wellbeing, keeping members out of unmanageable debt: @swobodacentre1 conference offers advice for #creditunions as looming #recession deepens the #costoflivingcrisis 

#coops #economy #ethicalfinance 
 
https://t.co/vNEZCUy2PG https://t.co/W5HubtHiEF",
19,['1597617631187464192'],1597617631187464192,"Watch as @Clear_Bridge's Jeff Schulze provides a quick analysis of the U.S. #Recession risk indicators and their changes throughout the year: https://t.co/h60K8bq0TO 

@FTI_US https://t.co/Dr11XSO4j5",
20,['1597617460563574784'],1597617460563574784,"This subtlety might not seem important now, but will gather recognition with the #recession setting in (mid 2023?).
#unemployment claims and rate (U3 / U6) https://t.co/H75BlDFlyy",
21,['1597617388895322112'],1597617388895322112,"Is it time to sell energy stocks as oil returned to under $80 a barrel?
#energystocks #investing #zerocovid #chinalockdown #stockmarketnews #cnbc #squawkbox #recession #oilprice
@sarat_sethi
https://t.co/YdGYG9ZUrm https://t.co/P4tlipOMTO",
22,['1597616607244611586'],1597616607244611586,News Analysis: Bear Market or Tectonic Shift? https://t.co/zYCAn8YQiw - Get the latest insights from @constellationr’s @rwang0 #Earnings #RealEstate #Inflation #Recession,
23,['1597615989407055872'],1597615989407055872,"Despite concerns about a #recession, companies still can't hire enough talent to fill all the available #jobs.

@ManpowerGroup's @JonasPrising talks to @business' @RichMiller28 about how the #talentshortage is impacting #workforce planning. Read now: https://t.co/kEdEiFmUrk",
24,['1597615816803246083'],1597615816803246083,Global #yieldcurve inverts in signal #recession is brewing. https://t.co/waxSG5gthL,
25,['1597615718450987008'],1597615718450987008,"Firing spree :

META : 11,000
Amazon : 10,000
Twitter : 8,000
Salesforce : 2500
Accenture: 5000
Cognizant : 12,000

Upcoming:

Intel : 20% of employees 
Google : 10,000
Cisco : 4,000
Seagate : 3,000
(Source : Financial express newspaper)
#layoffs  #USA #recession",
26,['1597615270717452288'],1597615270717452288,"If history repeats itself, the next 60 days will look pretty dark... #recession #StockMarket https://t.co/dkqn4xrxsF",
27,['1597614865329577986'],1597614865329577986,"So #Snap is ordering folks back to the office 4+ days a week? We all know what this is right? Its the same thing Tesla and others have been doing the last year. Just call it what it is: a quiet layoff. 

#Layoffs #socialmedia #recession",
28,['1597613961083555840'],1597613961083555840,"You need to know what the risks of a #recession are to protect your #equipmentrental business from an #economicstorm. Read our white paper to learn what indicators to watch for, PLUS practical tips&amp; advice to help you prepare: https://t.co/D7rVyOEz1h #freeresources #economicrisk",
29,['1597613888794664960'],1597613888794664960,"#Entrepreneurs... The #Recession is here! It's time to get serious about developing a #business that can sustain your lifestyle &amp; generate wealth! Join me on Dec 8, 2022 as I take you from #sidehustle to full time entrepreneur: https://t.co/C4VsK9aORc #businesswebinar #success https://t.co/O3O05JXl2c",
30,['1597613859602399232'],1597613859602399232,"""We expect negative [UK] GDP growth for four consecutive quarters. Positive growth will not to return until the fourth quarter of 2023. The unemployment rate will increase to 5% by the end of the forecast period."" #uk #recession (@Danske_Research) https://t.co/1uHNSx44p2 https://t.co/LVQ7nt5vAv",
31,['1597613852488867841'],1597613852488867841,"With #recession concerns &amp; soaring #inflation making headlines all through 2022, the same is likely in store for 2023📉🔍 Learn how you can leverage #YCharts to help educate &amp; communicate with clients during a downturn. 
 
Read more here ⬇️ https://t.co/WUKY4dt89c",
32,['1597613698092261382'],1597613698092261382,"Closed Sell 0.05 Lots USDCHF 0.9517 for +7.9 pips, total for today +190.9 pips  #eurusd #FED #inflation #recession #DXY #DOW https://t.co/GK4QCXUgfB #myfxbook #forex #portfolio #USDCHF",
33,['1597613697450627074'],1597613697450627074,"Closed Sell 0.05 Lots USDCHF 0.95178 for +6.3 pips, total for today +183.0 pips  #eurusd #FED #inflation #recession #DXY #DOW https://t.co/GK4QCXUgfB #myfxbook #forex #portfolio #USDCHF",
34,['1597613696863408128'],1597613696863408128,"Closed Sell 0.03 Lots USDJPY 138.558 for +10.9 pips, total for today +176.7 pips  #eurusd #FED #inflation #recession #DXY #DOW https://t.co/GK4QCXUgfB #myfxbook #forex #portfolio #USDJPY",
35,['1597613696205082625'],1597613696205082625,"Closed Sell 0.05 Lots USDCHF 0.95342 for +7.8 pips, total for today +165.8 pips  #eurusd #FED #inflation #recession #DXY #DOW https://t.co/GK4QCXUO59 #myfxbook #forex #portfolio #USDCHF",
36,['1597612845046587392'],1597612845046587392,That #Canada 3Q #GDP beat was led by #exports &amp; government spending.  Household demand and #business #investment fell:  https://t.co/hEGVlxJiIs &amp; https://t.co/0yQPTAkXJs #economy #recession?,
37,['1597612741518561281'],1597612741518561281,News Analysis: Bear Market or Tectonic Shift? https://t.co/Zkg6uA8Su6 - Get the latest insights from @constellationr’s @rwang0 #Earnings #RealEstate #Inflation #Recession,
38,['1597612549171970054'],1597612549171970054,"Scaler Event:  Tune in to this session on ""How to recession-proof your Software Engineering career?"", with our experts on the 30th of November to find out.

Register Now: https://t.co/JrRNxV8QB8

#Scaler #Scalerevent #layoffs #recession",
39,['1597611221791911937'],1597611221791911937,"Consumer spending is an extrange behavior to analize. Shoppers are paying higher prices for basics (gas, food) and continue to spend on items like cars and dining out. 

Prices and unemployment are pumping, income and salary are crashing. 
#unemployment #gas #recession #inflation",
40,['1597609461673512960'],1597609461673512960,"Ahmed Abdallah Sambi, a former President of Comoros has been handed down a life sentence for high treason after being convicted of selling passports to stateless people living in the Gulf.

read..https://t.co/XCRG84wDAw

#Torylanez #Herloss #Recession #nuclear #jennaortega https://t.co/th9mTC3M9H",
41,['1597609392161316865'],1597609392161316865,"@RoamingPrepper Oh? There will be people in stores just not the paying kind.
#BidenDestroysAmerica 
#Biden Depression 
#recession is now",
42,['1597609221218095104'],1597609221218095104,"Nicole Webb, CFP® was interviewed live in-studio on @CNBCClosingBell ""Markets Panel"" by @ScottWapnerCNBC . Nicole was featured during a discussion that covered everything from the state of the #markets to #recession fears and economic indicators, and the #China protests. https://t.co/zuqAgQfLzk",
43,['1597608082473115649'],1597608082473115649,"美国上个月房价再跌0.8%，第三季跌2%，一年跌了8%。
SF为例，一年相当于跌了32%，情况严重程度跟2001年tech泡沫时候类似；要赶上08-09年经融危机时候一半糟糕。
#recession #inflation #economy https://t.co/42BZj359kg https://t.co/6FTZeNmnnL",
44,['1597607444171001861'],1597607444171001861,#sensex #nifty love a #recession where capex is up $eem https://t.co/2HePudlmu2,
45,['1597607171201847297'],1597607171201847297,"An article on recession 2023 ....Do read it out !!

Link -

https://t.co/gQ5oPzjtkz

#recession #2023 #economy #finances #crisis #Life",
46,['1597607112552636416'],1597607112552636416,"How does the #Finance function become more agile in uncertain times? Read our recap on FSN’s panel discussion with our CEO, Alok Ajmera, Gary Simon, and Vineta Bajaj to learn how to navigate a challenging economy. Read now: https://t.co/NcNssuSxBJ #Recession #Finance #CPM https://t.co/XwvyzRhvbL",
47,['1597606526314860547'],1597606526314860547,"Businesses that do well in a recession - Part 6
Talk our experts here - https://t.co/acmU1YK658
#pragtech #recession #odoo #Odoo16  #customerservice #bulletproofbusiness #recession2022   #recessionproof #recessionproofbusiness #promptservice #economy #EconomyCrisis #recessiontips https://t.co/8MZeey2HU1",
48,['1597606524997828608'],1597606524997828608,"The Federal Statistical Office of Germany expects inflation at +10% in November 2022, slightly easing from the previous month. #inflation #germany #europe #eu #stockmarket #recession https://t.co/G2STe3yHLM",
49,['1597606392986324994'],1597606392986324994,"Protect Your Investments by Developing A Critical Thinking Mindset, Finding Truth in a World of Smoke and Mirrors with Dave Collum 

🎧 https://t.co/X2p4m6TxSi

#economicdownturn #recession #fakenews #lifestyledesign #mindset #mindexpansion #elevate #elevatenation #elevatepod https://t.co/x3dg1HD5MO",
50,['1597606330864377862'],1597606330864377862,"Extreme pandemic policies created a supply chain crisis which resulted in economic deterioration.

#California #Orangecountyca #ECS #Electroniccashsystems #Paymentprocessing #Recession #Paymentterminal #Contactlesspayment https://t.co/NdxVATNpuq",
51,['1597606313990639617'],1597606313990639617,"Is inverted #yieldcurve harbinger of #economic #recession?  

https://t.co/KX0R4FUJKJ",
52,['1597606301177348098'],1597606301177348098,"At the 38th Ministerial Session of COMCEC, leaders of Islamic countries discuss ways to enhance bilateral and #trade relations to help region and the world evade #recession.  @COMCEC_EN @OIC_OCI #OIC https://t.co/cmqTQEuSIv",
53,['1597606197670338561'],1597606197670338561,"Is the world heading towards stagflation? 

Listen to the views of our Chief Market Analyst, @ArunleslieArun shared with @business.

#Bloomberg #Stagflation #Inflation #Recession #Market #StockMarket #CenturyFinancial

https://t.co/ZiBji7649L",
54,['1597606104107986946'],1597606104107986946,"While #oil #equities continue to rally, the #crude prices have fallen sharply due to...

#Recession fears (#Fed tightening, #China slowdown, Price cap on #Russia)
[24-sep: https://t.co/X43oX6k3aK
30-aug: https://t.co/FoWAKqQV8C
08-sep (Death cross): https://t.co/opqlxyoaBl ]",
55,['1597606039968690176'],1597606039968690176,"Will the US Fed achieve its target to tame inflation? 

Read the different views of @BillAckman and @CathieDWood

#Fed #FederalReserve #BillAckman #CathieWood #Inflation #Recession #InterestRateHike #BrainyBull #CenturyFinancial 

https://t.co/QzXqnGfcx1",
56,['1597605930283454464'],1597605930283454464,"The first rate cut will be 50 basis points in December 2023, followed by 150 basis points of cuts into 2024 https://t.co/mWU5Hmqrfs sounds reasonable #fed #fomc #Recession",
57,['1597605241188659202'],1597605241188659202,"Will Smith, 54, has responded to criticism over his new film being released so soon after he slapped Chris Rock at the Academy Awards in March.
He stared as Peter in an upcoming Apple TV+ flick, Emancipation.

read..https://t.co/eMIx4vadKG

#Torylanez #Herloss #Recession #nuclear https://t.co/J7iiE0QBDR",
58,['1597604538445623297'],1597604538445623297,"While companies like Tesla,Ford $LI $MULN  #ElectricVehicles sales rise, an opportunity for companies providing charging solutions like @datametrex beckons.

$DM.V $DTMXF  is an undervalued yet promising stock to purchase

#BCStorm #recession #OTCQB",
59,['1597604415204212737'],1597604415204212737,"his tweet was one of the top ones on #recession which is trending, sigh. come on, there are real tragedies in the world: Covid, protests in China, the war in Ukraine, and food and energy shortfalls worldwide. https://t.co/eRTuP09ujG",
60,['1597602808437428224'],1597602808437428224,Can we still avoid a #recession? https://t.co/3eNi3PTkYt,
61,['1597601502570299392'],1597601502570299392,"US 10y yield minus 3m yield is inverted now and when ever this happened we had a recession within 6 months ..
Better measure than 10 minus 2 

No reason why risk assets especially equity is rallying so much 
Crash is coming ?? 

#recession 
PC Bloomberg https://t.co/3lMxxnVG4F",
62,['1597601349277208576'],1597601349277208576,"A #BBC journalist was reportedly assaulted and detained by Chinese police while covering an anti-government lockdown protest in Shanghai on Sunday, November 27.
Ed Lawrence was detained at the main protest in the city

read..https://t.co/NKNPJAMvA0

#Torylanez #Herloss #Recession https://t.co/Ln8Y5azCmI",
63,['1597601097103052801'],1597601097103052801,"With a #recession in bound (already here IMO for a while),... things are going to get hard, on everyone. Regardless of side.
Yet here we are under government creating divisive politics making both sides ready to FULL SEND.
Someone needs to pause on the liars before it's too late.",
64,['1597600836473192449'],1597600836473192449,"#Memes 
#dadjokes 
#recession https://t.co/prd2zwwmGX",
65,['1597600525855457280'],1597600525855457280,What happens when the bank repossesses  your house (and how to avoid it) https://t.co/iVQ4VBLvrv #financialstress #socialwork #financialsocialwork #financialwellnesss #financialhealth #HOPE #NASW #SocialWorkTwitter #mentalhealth #inflation #recession #debt  #repossess https://t.co/SiUGoJjx5e,
66,['1597599070700601344'],1597599070700601344,"#allemagne #récession 

""Un porte-parole du Ministère de l'Économie a déclaré vendredi à Reuters que les indicateurs actuels continuaient à indiquer une récession au cours des six mois précédant mars.""

https://t.co/JI2E31k7VW",
67,['1597598753405419527'],1597598753405419527,"Read this piece to learn how Social Security recipients might see their buying power grow in a recession.💰 https://t.co/d9eUpGjmJA

#SocialSecurity #Recession #ConsumerPriceIndex #COLA #Inflation",
68,['1597597942319575040'],1597597942319575040,"Prepare...
@elerianm 

#BidenDestroysAmerica 
#Bidenflation 
#Biden 
#recession 
#StockMarket 
#EconTwitter https://t.co/i6af5B6CX6",
69,['1597597498528276480'],1597597498528276480,Joining @JonErlichman @BNNBloomberg at the open. Odds of a #recession next year? My take #china $aapl $brkb $gld $dbef https://t.co/JStW03aGHx,
70,['1597596726986444804'],1597596726986444804,"I would much rather be a warrior in a garden, than a gardener in a war! We are  on the brink of tough times right now because weak men caused them, period! #weakmen #strongmen #toughtimes #recession #Entrepreneur",
71,['1597596240488943621'],1597596240488943621,"With the possibility of the declaration of a #Recession, what are the implications for the market?

@Thrivent's experts share their thoughts: https://t.co/NypYOyW2YX https://t.co/XpJiVGstrC",
72,['1597595861944791040'],1597595861944791040,"Leading indicators (top panel) dipped into #recession territory months ago and now even the co-incident indicators (bottom panel) are forecasting #recession -

No false signals for 50+ years, clock is ticking... https://t.co/k0hoNB8LcJ",
73,['1597595040766988288'],1597595040766988288,"This Quarterly provides answers &amp; discussions on 17 topics covering rates, #marketstrategies, swaps, tax-exempt muni and corporate #bonds, #yields &amp; more! 

#interestrates #FOMC #Recession #Fed #iBonds #investors #bondmarket #munibonds #fixedincome https://t.co/CBFjows6FI",
74,['1597594739393835009'],1597594739393835009,"আর্থিক মন্দার সতর্কতা বিশ্ব ব্যাঙ্কের! কর্মী ছাঁটাইয়ের পথে  বহুজাতিক সংস্থাগুলি  
https://t.co/2Np31Xn9SL
#PuberKalom #worldbank #recession #multinational #Corporate",
75,['1597594405459750912'],1597594405459750912,WTF for this mean for the global economy? #economy #recession #bonds  https://t.co/CKLl6zYRDF,
76,['1597594227080368132'],1597594227080368132,Global deepening #recession will reduce #oil demand over the coming months &amp; soften pricing with beneficial effect on #inflation. I feel that the effect of recession will weigh heavier on the price of oil as opposed to the winter demand for oil in the northern hemisphere.,
77,['1597594198253137922'],1597594198253137922,"#récession #2023d #ue 

""L'indice mensuel du sentiment économique de la Commission européenne a augmenté à 93,7 en novembre, contre 92,7 en octobre.""

https://t.co/NxVHYSmzau",
78,['1597594120205352960'],1597594120205352960,"Most governments are, to a greater or lesser extent, functionally #bankrupt. And yet #bond #investors are still stampeding over each other to lend them more money at derisory rates. Read: The Puritan Gift https://t.co/ZJV0yfCbRi #valueinvesting #stockmarket #recession https://t.co/yEgodKvnvB",
79,['1597594004111380481'],1597594004111380481,"Inverted US #YieldCurve is indicating that, it’s not a question of whether #recession is going to hit us or not, the question is how deep it is going to be #inflation #FederalReserve #USDollar #slowdown #unemployment",
80,['1597593604016701440'],1597593604016701440,I’m just tryna make it #LLDL #recession,
81,['1597593183478845440'],1597593183478845440,"Brace for #inflation , rate hikes, job losses, #recession : S&amp;P economist - Business Insider https://t.co/bWogTcgeKv",
82,['1597592973902061571'],1597592973902061571,Based on results of your current marketing activities this blog could save your career &amp; your save your company (via Passle) @Timothy_Hughes https://t.co/XzQHccqHsO @DLAIgnite #socialselling #digitalselling #leadership #salesleader #sales #salestips #salesforce #recession https://t.co/Jbl7HJOXxz,
83,['1597592923461550081'],1597592923461550081,To think we weren’t already in a #recession is to believe the Biden regime with ignorant bliss https://t.co/MCN3A26qXX,
84,['1597592743563653121'],1597592743563653121,"While everyone is talking about recession is expected in 2023, i think it has already started.

What do you say ?
@elonmusk
#recession #Economic #Trending #TrendingNow #JobSearch #economy",
85,['1597592455591112705'],1597592455591112705,Lets face it  US markets will only acknowledge they were in a #recession when it's over.. So see you in late 2024 folks. The herd always both denies and lags reality. #stockmarkets #equities,
86,['1597592068129447936'],1597592068129447936,It’s no surprise that companies are looking to get the most out of their marketing budgets in the current climate. This article discusses five mistakes that might be on the agenda for marketers &amp; what your firm could do instead https://t.co/dehlIo6cEU #marketingbudgets #recession,
87,['1597592028527071232'],1597592028527071232,#recession #economy #EconomicOutlook https://t.co/MyGrNll8Hf,
88,['1597591891498893316'],1597591891498893316,"📊 Will the market have a better 2023 or we are in a countdown to a #recession is yet to be seen, but our baseline scenario remains unchanged, leaning in favour of another significant leg down in equity #markets.

#LeverageShares #SP500
Capital at risk.
https://t.co/qSDdpUk8qf",
89,['1597591851296776193'],1597591851296776193,"#Pioneers get ready for an Airdrop on #Binance as #recession looms. Get ready for your piece of the #Crypto action.

#cryptocurrencies #cryptomarket #Bitcoin #Ethereum #Solana #EnjinCoin #Coinbase #Trustwallet #Metamask #blockchain Tel Aviv",
90,['1597591532449976321'],1597591532449976321,"The loonie rises following disappointing #Canadian Q3 #GDP at 2.9%.
#forextrader #forextrading #recession #inflation 

Risk warning: Trading involves high risk. It is possible to lose all your capital",
91,['1597591454754508810'],1597591454754508810,"Want to know how to become a recession-proof professional? Learn how to invest in yourself, your education, and your professional growth with these tips. #recession #recessionproof #careerplanning #careergrowth #selfdevelopment #BeMo #BeMore #BeMoAcademicConsulting https://t.co/RMLxQW3tnS",
92,['1597591319169343488'],1597591319169343488,"Protect Your Investments by Developing A Critical Thinking Mindset, Finding Truth in a World of Smoke and Mirrors with Dave Collum 

🎧 https://t.co/PnCbw4EYRj

#economicdownturn #recession #fakenews #lifestyledesign #mindset #mindexpansion #elevate #elevatenation #elevatepod https://t.co/XZvEXSRVuf",
93,['1597591071017828352'],1597591071017828352,"Hung debt has been a big problem for Wall Street this year, with banks taking huge mark-to-market losses on deals they underwrote before spiking interest rates and the threat of recession https://t.co/eJBsIWnEKI via @markets https://t.co/I5CV4e9AHL I #recession #market #stimulus",
94,['1597589853469802498'],1597589853469802498,"So there will be less travelling this winter as I’ll accumulating more knowledge this winter ❄️..

#KashmirFiles #recession #deflationary #deflation #teen #SpotifyWrapped #Crypto #Bitcoin",
95,['1597589717486559233'],1597589717486559233,"#German preliminary #inflation for November still holds a double-digit at 10% from 10.4% expected capped by higher #energy prices.
#EnergyCrisis #recession #trading #TradingView 

Risk warning: Trading involves high risk. It is possible to lose all your capital",
96,['1597589572317478912'],1597589572317478912,"Tomorrow we will shed light on the real-economy side of things in our November Outlook. 👇
https://t.co/E10mYDvjYi
#economy #recession https://t.co/ZZmdUuqkIs",
97,['1597589072381444100'],1597589072381444100,Bought 0.1 Lots AUDUSD 0.67325  #eurusd #FED #inflation #recession #DXY #DOW https://t.co/GK4QCXUgfB #myfxbook #forex #portfolio #AUDUSD,
98,['1597588618557947904'],1597588618557947904,Daily #recession probability for the USA with NBER and ECRI dates. This is still a very high level and nothing to be happy about. #USA #StockMarket https://t.co/o8OJHs9FL7,
99,['1597588222858633216'],1597588222858633216,"Investors raise 'stagflation' fears in Bank of America survey 

https://t.co/3SAEu2CBjt

#investorrelations #IR #capitalmarkets #buyside #stagflation #recession #regulation #covid19 #BofA https://t.co/qWasUeqfMw",
100,['1597587959876063232'],1597587959876063232,"Learn better strategies to trade in a bear market with GTCFX. Get in touch with our trading experts and open up your trading account today!

#BearMarket #TradingStrategy #TradingTips #OnlineTrader #Forex #inflation #Daytrader #OnlineTrading #Bear #RedGraph #Global #Recession https://t.co/StAtEHkBth",
101,['1597587758322778114'],1597587758322778114,"Publication | 🇺🇸 #EtatsUnis : La fiabilité des #Prévisions du PIB réel américain en période de #Récession interpelle.
#EcoWeek
https://t.co/K8tkg2xye9 https://t.co/ibkuyEwAuC",
102,['1597587181744410624'],1597587181744410624,"Publication | 🇺🇸  #EtatsUnis : d’après @DeVijlder la projection économique avant et pendant les récessions est un exercice délicat. Par ailleurs, la fiabilité des #Prévisions du PIB réel américain en période de #Récession interpelle.
#EcoWeek
https://t.co/bbWgFeTtaE https://t.co/b143ViAxkt",
103,['1597586964223561729'],1597586964223561729,"A potential economic slowdown can be a daunting prospect for #CFOs. 📉 A proactive and innovative approach that addresses supply chain disruptions, budget hurdles, and accounting speedbumps could be a solution✅⬇ #recession #EconomicTrends 
https://t.co/ZMisSBfwAr https://t.co/ZlTGWx3Oxm",
104,['1597586241197084676'],1597586241197084676,"More than a third of Americans (35%) won’t even think about purchasing a house until they have at least $200,000 saved up, according to new research https://t.co/s2x2S46pVM #housingmarket #recession",
105,['1597586204731772928'],1597586204731772928,"#recession The consumer price inflation in Germany fell to 10.0 percent year-on-year in November 2022, down from October's all-time high of 10.4 percent and below market consensus https://t.co/XH9dVrRHkQ",
106,['1597585474952269824'],1597585474952269824,"#inflation  #slowdown  #recession #GDP  #gdpindia #StockMarket #finnifty #equity #INTRADAY @ReutersGMF @MarketWatch @markets @wef @EconomicTimes @FT @RBI 
@stockifi_Invest @Akshat_World @warikoo @kushkatakia @wintwealth @ajinkyamkul @thinkschoolbot @indiacharts @Ganeshprasad999 https://t.co/VPF6wmzPCm",
107,['1597585332966653953'],1597585332966653953,"Everyone is crossing their fingers that the economy will have a ""soft landing"" from this record-setting rate hike cycle. That is not realistic. #recession #stagflation https://t.co/NFciW6HC4j",
108,['1597584703170969600'],1597584703170969600,Recession Warning: US Small Businesses Struggling to Pay Rent https://t.co/pnYiIF5EMm #Recession #Rent #SmallBusiness #Currency #Forex #FX #Markets #Finance #WallStreet #Trading #USD #Dollar #Economy #Inflation #StockMarket #NYSE #DJIA #Stocks #Economics #Bonds #GlobalMarkets,
109,['1597583588010385408'],1597583588010385408,"What's coming, will not, most likely, be just a #recession , but an outright collapse.

I am telling you people that I have never seen anything in the 'economic realm' that has worried me more than this. 😱 https://t.co/2tiMiIKghr",
110,['1597583494850510848'],1597583494850510848,"Deutsche Bank believes a US #recession is likely in mid-2023 with major stock markets falling 25% from current levels and forecasts for the S&amp;P500:
▶4,500pts in 1st quarter 2023
▶4,500pts in 2nd quarter 2023
▶3,250pts in 3rd quarter 2023
▶4,500pts in 4th quarter 2023 #SP500 https://t.co/ndunCWyweZ",
111,['1597583443935764480'],1597583443935764480,"A potential economic slowdown can be a daunting prospect for #CFOs. 📉 A proactive and innovative approach that addresses supply chain disruptions, budget hurdles, and accounting speedbumps could be a solution✅⬇ #recession #EconomicTrends 
https://t.co/JVHE9C9U4d https://t.co/E3E4oVm09O",
112,['1597583278101639168'],1597583278101639168,The fear of global #economy going into a #recession weighs heavily across the #MENA region as many #startups rue decline in #investments.  @Economyae @MEPSaudi https://t.co/Si2W1MeOBX,
113,['1597582812370341889'],1597582812370341889,"You ever thought markets would cheer peak inflation narratives and easing #inflation on CPI 10% numbers?
Things are really bad to party on that #recession https://t.co/Aq5OVlAyYe",
114,['1597581650040332290'],1597581650040332290,"With a looming #recession, it can be tempting to cut costs around marketing-especially for businesses that aren’t seeing the best sales right now. However, we beg to differ. Learn the benefits of marketing in an economic downturn https://t.co/RQuCr8wIqa #marketingstrategy #growth https://t.co/GBoOwwxFjj",
115,['1597581648220291075'],1597581648220291075,"Meanwhile, in ""Yield Curve Land"" (I've petitioned $DIS to add this to one of their theme parks ... haven't heard back yet ) the 2/10 inversion just keeps getting worse. As I've mentioned before, we've eclipsed every pre-#recession/bear market inversion...

https://t.co/j9IZKt66PF",
116,['1597581641991745536'],1597581641991745536,"Peak #inflation?

Most likely 'yes'

The #ECB should gradually shift the focus towards growth and #recession.

But it seems the ECB is always a bit late
on the way up and on the way down. https://t.co/zoJ3kI4qNo",
