"edit_history_tweet_ids","id","text"
[1598095789674627000],1598095789674627000,"@elonmusk So many acronyms at a fast pace"
[1598095789603291100],1598095789603291100,"@elonmusk @tim_cook https://t.co/5V8FxfBOsb"
[1598095789213257700],1598095789213257700,"@johnkrausphotos @Tesla @elonmusk Not mine I have to wait almost 2 hours for them to reemplace one tired !! 🤬"
[1598095788957401000],1598095788957401000,"@LayahHeilpern @elonmusk Exactly"
[1598095788529574000],1598095788529574000,"""@elonmusk Top two CEO’s getting together, love it."""
[1598095788508577800],1598095788508577800,"@elonmusk kkq"
[1598095788055629800],1598095788055629800,"""@elonmusk So, I guess the hissy fit for no reason"""
[1598095787531337700],1598095787531337700,"@Sen_JoeManchin @SenGaryPeters @SenatorHick @POTUS @FLOTUS @USTreasury @usembislamabad @SABIC @rbalsaud @IDF @SecDef @DoD_IG @USDOJ_Intl @USTradeRep @SecRaimondo @USCIS @SenJackyRosen @SenJoniErnst @commercedems @MELANIATRUMP @SenateGOP @NobelPrize @elonmusk @MelissaFleming @USUN https://t.co/nF7MvftcaF"
[1598095787309031400],1598095787309031400,"""@TheRealSB20 @Darren76780228 @Nomad_1x @elonmusk All these companies finding out what it really means 'Go woke. Go broke'.\nFreedom is not free, people realise that now. We're done with censorship and propaganda."""
[1598095785996226600],1598095785996226600,"@philippeherlin @france_soir Demander @elonmusk de combattre centre censure dictatoriale et de subventionner la liberté d'expression"
[1598095785790386200],1598095785790386200,"""@elonmusk @HEXICANX What about EU banning Twitter, have you heard that one yet?"""
[1598095784985387000],1598095784985387000,"@jm_mcgrath @elonmusk @CCCAlliance @CanadaDistress @rhosking252 @Teslarati @BestOfTeslaCam Thanks Sherine Lee @Williem98387976"
[1598095784951836700],1598095784951836700,"""@elonmusk You could just leave Twitter yourself, would make it a better experience for everyone."""
[1598095784544985000],1598095784544985000,"@elonmusk @mrddmia https://t.co/ZnYwHBvgRg"
[1598095784511012900],1598095784511012900,"@elonmusk @SawyerMerritt @jimfarley98 @Ford 👏🏻👏🏻"
[1598095783508967400],1598095783508967400,"""Por mais q tentem me 🤐 ou 🤫 censurar, nunca irei desistir de mostrar fatos relevantes à sociedade civil 🇧🇷 e ajudar à abrir à mente das pessoas no país.\n@elonmusk @MatthewTyrmand @TuckerOriginals @TwitterBrasil @Twitter @JasonMillerinDC @KassyDillon @TuckerCarlson @JackPosobiec https://t.co/HpMqnB19FV"""
[1598095782791741400],1598095782791741400,"@elonmusk @SawyerMerritt @jimfarley98 @Ford This is the kind of support we want in the EV business. This is not a zero sum game. No single company - not even #Tesla - can make enough cars to transition the world to sustainable transport. Bravo #Ford. Good stuff @elonmusk"
[1598095782426841000],1598095782426841000,"@zhepoleesky @elonmusk People have no idea what is about to happen haha"
[1598095782342963200],1598095782342963200,"@EvasTeslaSPlaid @elonmusk in a heartbeat!"
[1598095781873209300],1598095781873209300,"""@gummibear737 @elonmusk @tim_cook We don’t know that, but we do know that Tim handled this like an adult. He invited Elon to his office to discuss and resolve instead of engaging in a Twitter war like a few teenagers.\n\nThis was always going to be resolved. Twitter needs Apple, more than Apple needs Twitter."""
[1598095781822886000],1598095781822886000,"@saylor @elonmusk @tim_cook Hey #bitcoin is not people’s money. But #dogecoin"
[1598095781705416700],1598095781705416700,"@elonmusk @neuralink It’s 6:24 Bitch. Just kidding."
[1598095781223084000],1598095781223084000,"@elonmusk I need a job"
[1598095781160181800],1598095781160181800,"""@elonmusk Wow, civil conversation between 2 adults and issues get worked out.\nWhat a concept"""
[1598095780359057400],1598095780359057400,"@elonmusk @neuralink Go Musk! Go! Go! If you can’t do it no one can! 🤘🏽"
[1598095780312944600],1598095780312944600,"""@elonmusk Regardless, we want that mf tesla phone bro"""
[1598095780275183600],1598095780275183600,"@elonmusk @SawyerMerritt @jimfarley98 @Ford My next EV for sure!"
[1598095779998027800],1598095779998027800,"""@LivePDDave1 @elonmusk Woke is dying. The only folks pro-woke are losers with nothing &amp; no value...parasites matter not...if you don't want to go bankrupt,  don't attack freedom or honorable American values!"""
[1598095779637252000],1598095779637252000,"@GreenGoOrganics @elonmusk @neuralink This is a surprise😘.https://t.co/gviz5UspGR"
[1598095779511427000],1598095779511427000,"""@LelloucheNico @BrosnanHoban @elonmusk Yea, you're not real bright are you? Tim is well aware of Elon's abilities and don't even start with the \""he's never built a phone\"" nonsense. He's built rockets, satellites &amp; the most successful EV in the world and he's very well capitalized and has a brand (Tesla) to tie it to"""
[1598095779402743800],1598095779402743800,"@elonmusk @jhall That implies it was accepted."
[1598095779067220000],1598095779067220000,"""@elonmusk  \n\nNo Gettr podemos escrever até 777 caracteres. \n\nQual é o número de caracteres máximo que podemos escrever no Twitter?\n\nSe for o 666 (numero da besta), é possível mudar para desfazer isso?!"""
[1598095777985089500],1598095777985089500,"""@Itsyab0y04 @Darren76780228 @Nomad_1x @elonmusk \""Tim was clear that Apple never considered doing so\"" is also pretty definitive. Also curiously careful language, almost as though a lawyer gave some gentle advice about how best to avoid getting sued. https://t.co/WmcqugBwJy"""
[1598095777490169900],1598095777490169900,"""@realsirhenry @atensnut @elonmusk @tim_cook I was taught in Kindergarten, if you have nothing nice say, SAY NOTHING.  Bye https://t.co/Gl7DBFXxAX https://t.co/T2PfUFg6Vg"""
[1598095777318211600],1598095777318211600,"@elonmusk Don’t you wish that all the others that were blasted on Twitter were so receptive as well?!"
[1598095776600629200],1598095776600629200,"@MistyP1981 @MindsEyeNFT @JessicaBanner13 @elonmusk @tim_cook no it's way worse. now twitter is being flooded with bullshit conspiracy theories and misinformation. its awful"
[1598095776261222400],1598095776261222400,"@TeslaAIBot @elonmusk Good old Timmy"
[1598095775971823600],1598095775971823600,"@elonmusk https://t.co/EAadXNoV4F"
[1598095775564976000],1598095775564976000,"Hey @elonmusk https://t.co/5vSV1icn6F"
[1598095775149740000],1598095775149740000,"""@CNP1776 @muskQu0tes @elonmusk All gun laws are rooted in racism too. Real racism, not the bullshit being spewed by idiots that have been grievously misled."""
[1598095775124566000],1598095775124566000,"""@Alyssa_Milano @elonmusk\n\nYou're leaving it up, because people would call you out for deleting it\n\nAnd your typical HYPOCRISY \n\nNow run along and let the adults Tweet"""
[1598095774700929000],1598095774700929000,"@Ethouris @JoanaCotar @elonmusk Das Establishment kämpft zum ersten Mal seit Trump um die mediale Meinungshoheit. Ich würde in diesem Zusammenhang keinen Satz mit \"sie können nicht\" beginnen."
[1598095774239584300],1598095774239584300,"@elonmusk @USER223545 we were right"
[1598095773925007400],1598095773925007400,"""@elonmusk @SawyerMerritt @jimfarley98 @Ford when done right, no one notices. When done poorly, everyone notices. Communications. https://t.co/Rgwtk5ZhDJ"""
[1598095773111316500],1598095773111316500,"@elonmusk &gt;Tim was clear that Apple never considered doing so\n\nlol https://t.co/AnCFIBg5OO"
[1598095772674797600],1598095772674797600,"""@T___reignfree @elonmusk Yes, agreed, like all the mask hullabaloo. Check this own goal...\nhttps://t.co/X6PAAenqha"""
[1598095772225937400],1598095772225937400,"@TentinQuaranti4 @elonmusk @neuralink Thankss a millon🙏.https://t.co/1yqD1zc9Kk"
[1598095772079517700],1598095772079517700,"@MattWallace888 @elonmusk https://t.co/82nCAmI0be"
[1598095771437785000],1598095771437785000,"""@Huckleb3rry2 @elonmusk @realDonaldTrump It's frustrating my account was banned, Appeal never worked I got no response😢 until someone referred me to henry_techs on Instagram and he got my account back . Can’t help but recommend him🙏"""
[1598095771358081000],1598095771358081000,"@ThierryBreton @elonmusk Misinformation according to who? It's misinformation that dissent against the government and the Democrat mouthpiece establishment media's narrative is misinformation."
[1598095771089313800],1598095771089313800,"@LivePDDave1 @elonmusk It’s also sad that the 30 comments on this post are censored from my view. I see zero. Zilch. Nada. Free speech? @TwitterSupport https://t.co/fLvOqgZ28L"
[1598095770703388700],1598095770703388700,"@TaraBull808 @elonmusk Damn....I was really looking forward to buying a Starlink Phone for $420 and paying $69 for monthly service 🤣 lmao"
[1598095770678628400],1598095770678628400,"""@catturd2 @SassyPantsjj I think @elonmusk should post all the correspondence, between the old twitter leadership and the people pushing for the suppression of information, that most likely would have changed a few things…elections, Covid, vaccines, etc🙋🏻‍♂️"""
[1598095770426970000],1598095770426970000,"@elonmusk A good conversation might also help in politics . They might learn something from you 🤷‍♀️"
[1598095769411936300],1598095769411936300,"@RationalEtienne @elonmusk @elonmusk"
[1598095768711098400],1598095768711098400,"@elonmusk @tim_cook a rock pond? get some Koi!"
[1598095767721627600],1598095767721627600,"@TomFitton @elonmusk @Twitter It's not an American company. It's half owned by Saudi Arabia."
[1598095766954053600],1598095766954053600,"@elonmusk Is the customer always right?"
[1598095766257799200],1598095766257799200,"""@LelloucheNico @LStoerseth @BrosnanHoban @elonmusk I think you are out of touch. BlackBerry had a unique vision, they weren't needed in the phone market anymore so they focused on what they are better at: security. Microsoft failed because they forced Windows into phones. Which meant moving away from what people used to use."""
[1598095766253621200],1598095766253621200,"@DavoZed @johnpavlovitz @ThisIsKyleR @elonmusk No only the commy mental cases are upset. Everyone else na all good. \n4500k compared to what?\nA drop in the ocean .\nWell done Kyle."
[1598095765586731000],1598095765586731000,"""@elonmusk @tim_cook See the problems all that misinformation being spread around causes 😄.... good thing you have a strong physical fact checker Elon, and that is always with you &gt;&gt; 🧠 &lt;&lt;"""
[1598095765305720800],1598095765305720800,"@FettiCartier @elonmusk Lmfao who’s going to tell her"
[1598095764957589500],1598095764957589500,"@elonmusk @timcook very understanding on house on how to help my conditions help Elon to set me up great"
[1598095764882088000],1598095764882088000,"@DrAnitaBEtin @elonmusk Do it fatty! 👍 I support your fat ass cause. Sexy obese mama."
[1598095764080988200],1598095764080988200,"@elonmusk Who initiated this meeting? Well done!"
[1598095762608763000],1598095762608763000,"@BinanceUS #crypto #kishu 🔥🔥🔥🔥❤️❤️💪💪🐶🐶#memecoin  @shopping_io @WazirXCares @Gatecomtr @InuKishu @gate_io @Investments_CEO @HuobiGlobal @coin98_exchange @1goonrich @elonmusk @mayemusk @10Ronaldinho @SnoopDogg @BinanceUS @binance  #KISHUARMY #BTCUSD #KİSHU @InuKishu 🔥🔥🔥💪💪 https://t.co/pVhBQiFyAx"
[1598095762465861600],1598095762465861600,"@elonmusk Thank you Elon Musk. Stay strong Sir!"
[1598095761253990400],1598095761253990400,"@gkfahnbulleh @RealNith @elonmusk @tim_cook Apparently you don't understand the principle of leverage."
[1598095760754868200],1598095760754868200,"@catturd2 @elonmusk @jhall Brandon?"
[1598095760285130800],1598095760285130800,"@tadejny @elonmusk You don’t even know what misinformation is like 99% of the turd brain democrat voters"
[1598095759920214000],1598095759920214000,"@elonmusk @tim_cook https://t.co/QLG8TdaLs2"
[1598095759874101200],1598095759874101200,"@PasReport @elonmusk Rt'd"
[1598095759714701300],1598095759714701300,"@CollinRugg @elonmusk Suck up."
[1598095759085535200],1598095759085535200,"@jazzi_s @LivePDDave1 @elonmusk Investing in forex/CFDs is highly speculative and carries a high level of risk. It can also be highly profitable when you trade perfectly. Let top traders like @ElmoreGuice do the job for you. I highly recommend her!. Get in touch with her today!"
[1598095758779379700],1598095758779379700,"""@elonmusk Conversation, the antidote for war…"""
[1598095757948883000],1598095757948883000,"@elonmusk Funny how when Keyboard muscles turn to mush when you knock on their front door."
[1598095757764362200],1598095757764362200,"@karthikb030 @elonmusk @jhall Cancel culture also has a Nobel cause on the surface as well"
[1598095757290397700],1598095757290397700,"@elonmusk should pay taxes!!!"
[1598095756946460700],1598095756946460700,"""@elonmusk @EvaFoxU @Reuters “and has interfered in elections.”  Please tell us more.  This needs to be broadcasted everywhere at every hour of the day.  Most know it happened, the sheep need to see the proof."""
[1598095756057260000],1598095756057260000,"@CStyles45 @TwitterBusiness @elonmusk @Sargon_of_Akkad"
[1598095755620733000],1598095755620733000,"@LivePDDave1 @elonmusk They need StarLink"
[1598095755331633200],1598095755331633200,"@baskinginasking @DrEliDavid @elonmusk You may have to learn to research &amp; think for yourself. https://t.co/wF9Y9nTSoX"
[1598095755021267000],1598095755021267000,"@Purpleshoshana @amcfarla @elonmusk @jhall Details aren’t pointless. They are where the truth is."
[1598095754853507000],1598095754853507000,"""@GeorgeHermanRu4 @ShelKel2 @pulte @tim_cook @elonmusk I remember that: the bake shop offered to bake a cake, but refused to write anything on it that they opposed.\n\nIf Apple would allow users to use the Twitter app but wouldn't add any comment to it, that would be good."""
[1598095754207580200],1598095754207580200,"@elonmusk @neuralink Do you hook up ppl with brain tumours lol 🙋‍♂️ pick me"
[1598095752869580800],1598095752869580800,"@elonmusk @SawyerMerritt @jimfarley98 @Ford Did you know Ford doesn't have nearly the same problem with explosions as Teslas have? It's true. Teslas explode all the fucking time. https://t.co/FoA8YjPwDE"
[1598095752752148500],1598095752752148500,"@elonmusk bull at a gate😉"
[1598095751963635700],1598095751963635700,"@elonmusk Now lets talk about implementing @dogecoin #dogecoin"
[1598095751758106600],1598095751758106600,"@elonmusk Thank goodness. Strong communication is very important!"
[1598095751594520600],1598095751594520600,"""@LelloucheNico @BrosnanHoban @elonmusk In the west? In the US you mean. But in EU most people use android phones. I'm too lazy to check about market shares, but I can tell you that among my acquaintances 9 out of 10 are with android's and the one who has an Iphone it's usually because the company bought it for him/her"""
[1598095751267373000],1598095751267373000,"@dmaco215 @LivePDDave1 @elonmusk Investing in forex/CFDs is highly speculative and carries a high level of risk. It can also be highly profitable when you trade perfectly. Let top traders like @ElmoreGuice do the job for you. I highly recommend her!. Get in touch with her today!"
[1598095751263170600],1598095751263170600,"@MysterySolvent @elonmusk A Millions of users do tho lmao https://t.co/fQ83padzxo"
[1598095751019925500],1598095751019925500,"""@stephenrborder @elonmusk It's frustrating my account was banned, Appeal never worked I got no response😢 until someone referred me to henry_techs on Instagram and he got my account back . Can’t help but recommend him🙏"""
[1598095750483030000],1598095750483030000,"@elonmusk Darn. Was looking forward to that shiny new TESLA phone"
[1598095750436909000],1598095750436909000,"@87cmm @rolaaus @H8TR_HURTER @RealNickMugalli @elonmusk @tim_cook Point proven. All you have are CNN talking points and eye roll gifs for those providing you with counter points or sources. You are a NPC and as such are unredeemable. I’m done responding to your midwit tweets."
[1598095749191204900],1598095749191204900,"@internet_ram @SethCKAuthor @MattWallace888 @elonmusk @neuralink @CommunityNotes I am a bit of an Elon fan-boy because of SpaceX and to a lesser extent Tesla.\nI hope neura-link does good in the world.\nI'm super pissed off at him for what he is doing politically via Twitter.\nit is possible to be all these things at the same time."
[1598095748960497700],1598095748960497700,"@elonmusk Please buy the chargers and build a Tesla stadium!!!!!!!!!!!"
[1598095748930732000],1598095748930732000,"@ProfessionaIYB @elonmusk @tim_cook Check your math again #notsmart"
[1598095748432023600],1598095748432023600,"@jasondebolt @elonmusk Elizabeth warren is another beauty and not in a good way"
[1598095748247486500],1598095748247486500,"@elonmusk A way forward is great!\n\nWhat do you think of this Mars inspired tune?\nhttps://t.co/WZdS57Cy3f"
[1598095747697635300],1598095747697635300,"""@tecchguy @elonmusk Yes, let’s trust the proven fraudulent liar."""
[1598095746674593800],1598095746674593800,"@elonmusk Elon we are with you"
[1598095746364248000],1598095746364248000,"@Hi_Its_Herb @LaHabana10100 @elonmusk 🤣🤣🤣 yes!"
[1598095746246774800],1598095746246774800,"@elonmusk What about the 30% of the AppStore?"
[1598095744812011500],1598095744812011500,"""@Storm4Congress @Nomad_1x @elonmusk He's not dumb, he's confused!"""
[1598095744539709400],1598095744539709400,"@TravisS66157783 @elonmusk @tim_cook @elonmusk where do we put in feature requests ?"
[1598095744241893400],1598095744241893400,"@dannydeurbina @elonmusk She did a really good hard-hitting job on keeping him on task… Bravo to Martha… But we will never watch Fox again because of what they did with the election."
[1598095744019599400],1598095744019599400,"@elonmusk @tim_cook You’ve become such a troll I genuinely cannot tell when you’re being serious."
[1598095742953869300],1598095742953869300,"@Jozefowski @elonmusk @neuralink Wow.😘.https://t.co/gviz5UspGR"
[1598095742526455800],1598095742526455800,"That’s a relief…. We would have dumped all 9 devices in our house to support you @elonmusk . #goodmoveapple https://t.co/iUxu3uWeL6"
[1598095742274453500],1598095742274453500,"@TrafficBarrels @elonmusk @neuralink Hurry up!😍.https://t.co/BRkvNGLT6a"
[1598095742236663800],1598095742236663800,"@Apple\n : We're removing Twitter from our app store.\n@elonmusk\n : I might have a phone ready soon.\n@Apple\n : This was all a big misunderstanding! We're not removing Twitter from our store!\n@elonmusk : Good talk.  Nice campus!\n#Apple #Twitter"
[1598095742190526500],1598095742190526500,"@elonmusk Who voted no!!?"
[1598095741783666700],1598095741783666700,"@elonmusk No I love it"
[1598095741373010000],1598095741373010000,"@SeniorTacoBelly @ThierryBreton @elonmusk God I hope so"
[1598095741318463500],1598095741318463500,"@elonmusk ....\"Apple never considered doing so.\"...... Yet..."
[1598095741184258000],1598095741184258000,"@elonmusk @GovRonDeSantis  now please take the time since you went full scale ballistic on cancelling Apple to take a minute and be the man Elon was here and apologize for the mistaken take."
[1598095741167472600],1598095741167472600,"@td_dion @grenadine @elonmusk new idea for money"
[1598095740538355700],1598095740538355700,"@ZAIDmagik @Apple @timcook @elonmusk and make it cooked"
[1598095740534157300],1598095740534157300,"@elonmusk @vincent13031925 Back the dollar with Gold &amp; Silver"
[1598095738650513400],1598095738650513400,"@luba_mikhailov @elonmusk @ProfKlausSchwab https://t.co/n4a26rPYEE"
[1598095737484873700],1598095737484873700,"""@MFneedstogo @smutoro @elonmusk @Twitter We get it you're a Democrat, you are told not to like Elon. You people cannot even think for yourselves. Groomer prick."""
[1598095737237418000],1598095737237418000,"@elonmusk Tim Apple slippery like an eel though"
[1598095736625041400],1598095736625041400,"@Factschaser @Charlie20339537 @MonsterResource @rhensing @elonmusk @tim_cook Yes I saw this earlier dumbass lmao he also has a shit ton more businesses doing well lmao 🤣 why you so mad he’s doing well and is a major force in virtually every business metric and industry he ventures to"
[1598095736113336300],1598095736113336300,"""@norhoc1 @teslaownersSV @elonmusk You obviously have a very narrow view of what bravery is about. Bravery can mean daring to go where no one dares before, seeking the truth about the unknown at all cost, taking the unpopular path and being outcasted for it and still pressed on. All these and more Elon did."""
[1598095735840731100],1598095735840731100,"@caden_adamson @RealNickMugalli @elonmusk @tim_cook I don’t have time to go into details but all your foolish scenarios shows how ignorant you are. \nStick to the fields you understand honestly because you sound like a basic Musk worshiper"
[1598095735765217300],1598095735765217300,"@elonmusk @Apple 🤣😂🤣😂🤣👊🏼👊🏼👊🏼🤙🏼🌹\nAgain movie is Billy Madison https://t.co/5r3X5e3CJU"
[1598095735622602800],1598095735622602800,"@elonmusk Was there a particular reason you chose to believe him?"
[1598095735525736400],1598095735525736400,"@fluxtrot @elonmusk @neuralink This is a surprise💯.https://t.co/1yqD1zc9Kk"
[1598095735027019800],1598095735027019800,"""@TaraBull808 @realbionicman @elonmusk Tara, you are a d*mb c*nt"""
[1598095734250741800],1598095734250741800,"@Troy_IRL @elonmusk Give it a rest https://t.co/EVMnX9kFan"
[1598095733567426600],1598095733567426600,"@ConnorN43190946 @BladeOfKet @Alex79321400 @ThierryBreton @elonmusk They cared about disinformation before musk."
[1598095733000790000],1598095733000790000,"@SpecificTest @doverun @GregoryMcFadden @elonmusk Why lie? It would have taken you about 10 seconds to find out that Youtube takes a 45% cut of ad revenue."
[1598095732216852500],1598095732216852500,"@elonmusk It shouldn't be war of any kind you didn't create the culture why change it to fit your asinine thinking.. should Be equal or be nothing at all."
[1598095732149715000],1598095732149715000,"@taylorbuley @Kantrowitz @elonmusk Tay with the 🔥"
[1598095732124577800],1598095732124577800,"@Factschaser @rhensing @elonmusk @tim_cook Is that really what this tells us?"
[1598095732094881800],1598095732094881800,"@TheKingPays @BrightInsight6 @elonmusk Pool party!"
[1598095731914870800],1598095731914870800,"@mmmmyyyyy09 @BrosnanHoban @elonmusk Someone mentioned he should do it and he agreed he would so yeah he did but nice try."
[1598095731684159500],1598095731684159500,"@JessLynnStudio @elonmusk You are a glitch"
[1598095731101171700],1598095731101171700,"@derrickvanorden @elonmusk LOL!  will never happen"
[1598095730748846000],1598095730748846000,"@elonmusk [Silly mode tweet] Guess how many people he follows on this app!? 😊"
[1598095730727870500],1598095730727870500,"@HistoryInPics @elonmusk Awww... look at that young Elon Musk."
[1598095730694303700],1598095730694303700,"I believe this is misinformation @elonmusk https://t.co/nGDetD9XaH"
[1598095730476191700],1598095730476191700,"@elonmusk ALPABET media bias"
[1598095730362966000],1598095730362966000,"""it's why a thousand fawning articles in #business and #technology journalism, and a million #ElonMusk lackeys like @APompliano and @AcquisitionsBro and @DavidSacks, fall all over themselves praising @elonmusk when he shows up hours late for appointments or meetings.\n\n(11/x)"""
[1598095730060972000],1598095730060972000,"@Troy_IRL @elonmusk Elon flexed on him he caved. Who knows what dirt he’s pulled up."
[1598095729331167200],1598095729331167200,"@elonmusk Interesting."
[1598095728970465300],1598095728970465300,"@juliaioffe @elonmusk That’s a shame."
[1598095728860987400],1598095728860987400,"@elonmusk The president told me his name was Tim Apple though..."
[1598095728693612500],1598095728693612500,"@elonmusk The rumor mill strikes again"
[1598095728244846600],1598095728244846600,"cc @elonmusk https://t.co/cDFpcAGyXG"
[1598095727888326700],1598095727888326700,"@elonmusk Cool. Now unsuspend @gaoconnor !!!!!"
[1598095727699234800],1598095727699234800,"""@EdFoste96342711 @LindaKeays3 @CollinRugg @elonmusk @EvaFoxU @Reuters Everything is a distraction to blow out of proportion to illicit your programmed response. There's only one truth, and we all know it even if we deny it. Of course you can only deny something you know. And yep, that's some true words by Shakespeare."""
[1598095727304900600],1598095727304900600,"""@elonmusk @faxx_eth wait, where is Kara Swisher telling us that Elon has no right to \""front load\"" Tim Cook because \""it won't work?\""\n\nKara!"""
[1598095727108198400],1598095727108198400,"""@DonutOperator @elonmusk @tim_cook No, Twitter now has a robust stance against child porn."""
[1598095727057858600],1598095727057858600,"@14_skinny @ThierryBreton @elonmusk 2023 going to be very interesting 🤔 ♥️☮️⚡️"
[1598095726827180000],1598095726827180000,"@elonmusk Wha' ??? Transparency and honesty?  What is this world coming to?"
[1598095726269337600],1598095726269337600,"@elonmusk You should still build a StarPhone."
[1598095726202228700],1598095726202228700,"""@elonmusk Again, brilliant news, just awesome!"""
[1598095726097363000],1598095726097363000,"@muskQu0tes @elonmusk Canada is now banning hunting rifles…"
[1598095725941862400],1598095725941862400,"@elonmusk @SawyerMerritt @jimfarley98 @Ford I almost forgot you're CEO of an electric car company."
[1598095725652775000],1598095725652775000,"@elonmusk Tim knows that if he takes twitter off the app store then Elon would make a phone that would plummet the sales of Iphones"
[1598095725362937900],1598095725362937900,"@JackFought @Troy_IRL @elonmusk That child controls the future of low orbit satellites. Apple can't afford to be locked out due to wokeists trying to control the narrative."
[1598095725178785800],1598095725178785800,"@muskQu0tes @elonmusk What exactly is an \"Assault Rifle\" cause AR doesnt mean that.\n\nIts Armalite. Which is a brand."
[1598095725027786800],1598095725027786800,"""@elonmusk @HistoryInPics Ahhh---when you had hair, lost it, then paid to get it back."""
[1598095724557705200],1598095724557705200,"@elonmusk this movie really brought you to mind #demonseed #elonmusk #proteus https://t.co/jn9uPEtr6K"
